station_id,station_name,element_name,year,month,day,obs_val
43466,COLOMBO,TMPMAX,2012,5,25,30.9
43466,COLOMBO,TMPMAX,2012,5,26,29.6
43466,COLOMBO,TMPMAX,2012,5,27,30.9
43466,COLOMBO,TMPMAX,2012,5,28,30.9
43466,COLOMBO,TMPMAX,2012,5,29,31.8
43466,COLOMBO,TMPMAX,2012,5,30,31.3
43466,COLOMBO,TMPMAX,2012,5,31,31.3
43466,COLOMBO,TMPMAX,2012,6,1,31.3
43466,COLOMBO,TMPMAX,2012,6,2,31.6
43466,COLOMBO,TMPMAX,2012,6,3,31.3
43466,COLOMBO,TMPMAX,2012,6,4,30.9
43466,COLOMBO,TMPMAX,2012,6,5,31.3
43466,COLOMBO,TMPMAX,2012,6,6,30.7
43466,COLOMBO,TMPMAX,2012,6,7,30.5
43466,COLOMBO,TMPMAX,2012,6,8,31.3
43466,COLOMBO,TMPMAX,2012,6,9,31.3
43466,COLOMBO,TMPMAX,2012,6,10,31.1
43466,COLOMBO,TMPMAX,2012,6,11,31.2
43466,COLOMBO,TMPMAX,2012,6,12,31.1
43466,COLOMBO,TMPMAX,2012,6,13,30.9
43466,COLOMBO,TMPMAX,2012,6,14,29.1
43466,COLOMBO,TMPMAX,2012,6,15,30.8
43466,COLOMBO,TMPMAX,2012,6,16,31.2
43466,COLOMBO,TMPMAX,2012,6,17,31.4
43466,COLOMBO,TMPMAX,2012,6,18,30.3
43466,COLOMBO,TMPMAX,2012,6,19,30.8
43466,COLOMBO,TMPMAX,2012,6,20,30.6
43466,COLOMBO,TMPMAX,2012,6,21,30.3
43466,COLOMBO,TMPMAX,2012,6,22,30.8
43466,COLOMBO,TMPMAX,2012,6,23,30.8
43466,COLOMBO,TMPMAX,2012,6,24,31.3
43466,COLOMBO,TMPMAX,2012,6,25,30
43466,COLOMBO,TMPMAX,2012,6,26,30.9
43466,COLOMBO,TMPMAX,2012,6,27,31
43466,COLOMBO,TMPMAX,2012,6,28,29.7
43466,COLOMBO,TMPMAX,2012,6,29,30.8
43466,COLOMBO,TMPMAX,2012,6,30,30.7
43466,COLOMBO,TMPMAX,2012,6,31,
43466,COLOMBO,TMPMAX,2012,7,1,29.7
43466,COLOMBO,TMPMAX,2012,7,2,31.1
43466,COLOMBO,TMPMAX,2012,7,3,30.3
43466,COLOMBO,TMPMAX,2012,7,4,30.8
43466,COLOMBO,TMPMAX,2012,7,5,31.1
43466,COLOMBO,TMPMAX,2012,7,6,31
43466,COLOMBO,TMPMAX,2012,7,7,30.4
43466,COLOMBO,TMPMAX,2012,7,8,30.4
43466,COLOMBO,TMPMAX,2012,7,9,29.5
43466,COLOMBO,TMPMAX,2012,7,10,30.3
43466,COLOMBO,TMPMAX,2012,7,11,29.7
43466,COLOMBO,TMPMAX,2012,7,12,30.6
43466,COLOMBO,TMPMAX,2012,7,13,30.1
43466,COLOMBO,TMPMAX,2012,7,14,29.7
43466,COLOMBO,TMPMAX,2012,7,15,29.7
43466,COLOMBO,TMPMAX,2012,7,16,30.1
43466,COLOMBO,TMPMAX,2012,7,17,30.6
43466,COLOMBO,TMPMAX,2012,7,18,30.4
43466,COLOMBO,TMPMAX,2012,7,19,30.8
43466,COLOMBO,TMPMAX,2012,7,20,31.1
43466,COLOMBO,TMPMAX,2012,7,21,30.4
43466,COLOMBO,TMPMAX,2012,7,22,31.3
43466,COLOMBO,TMPMAX,2012,7,23,30.8
43466,COLOMBO,TMPMAX,2012,7,24,31.4
43466,COLOMBO,TMPMAX,2012,7,25,30.4
43466,COLOMBO,TMPMAX,2012,7,26,31
43466,COLOMBO,TMPMAX,2012,7,27,30.8
43466,COLOMBO,TMPMAX,2012,7,28,30.9
43466,COLOMBO,TMPMAX,2012,7,29,30.8
43466,COLOMBO,TMPMAX,2012,7,30,31.1
43466,COLOMBO,TMPMAX,2012,7,31,31.1
43466,COLOMBO,TMPMAX,2012,8,1,30.9
43466,COLOMBO,TMPMAX,2012,8,2,31.1
43466,COLOMBO,TMPMAX,2012,8,3,31.1
43466,COLOMBO,TMPMAX,2012,8,4,31.2
43466,COLOMBO,TMPMAX,2012,8,5,31.3
43466,COLOMBO,TMPMAX,2012,8,6,30.8
43466,COLOMBO,TMPMAX,2012,8,7,31.5
43466,COLOMBO,TMPMAX,2012,8,8,31.3
43466,COLOMBO,TMPMAX,2012,8,9,30.8
43466,COLOMBO,TMPMAX,2012,8,10,29.8
43466,COLOMBO,TMPMAX,2012,8,11,30.8
43466,COLOMBO,TMPMAX,2012,8,12,30.5
43466,COLOMBO,TMPMAX,2012,8,13,30.8
43466,COLOMBO,TMPMAX,2012,8,14,31.4
43466,COLOMBO,TMPMAX,2012,8,15,30.9
43466,COLOMBO,TMPMAX,2012,8,16,30.9
43466,COLOMBO,TMPMAX,2012,8,17,30.1
43466,COLOMBO,TMPMAX,2012,8,18,31.4
